Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
10         932.85         21.35            5.12          -                  0.00
20         931.77         20.58            4.64          63.7               7.98
30         930.69         19.60            4.01          66.9               7.33
40         929.61         18.99            3.64          71.0               6.60
50         928.53         18.40            3.31          86.1               5.93
60         927.45         17.92            3.05          84.2               5.23
70         926.37         17.36            2.78          75.4               4.57
80         925.29         16.92            2.63          67.5               3.92
90         924.21         16.72            2.60          72.2               3.47
100        923.13         16.54            2.62          79.4               3.11
110        922.05         16.41            2.65          83.7               3.01
120        920.97         16.29            2.68          94.5               2.94
130        919.89         16.11            2.73          99.5               2.97
140        918.81         15.95            2.74          107.5              2.88
150        917.73         15.74            2.74          99.4               2.75
160        916.66         15.52            2.73          112.1              2.81
170        915.58         15.38            2.71          116.8              2.75
180        914.51         15.23            2.70          115.6              2.67
190        913.43         15.10            2.68          111.2              2.67
200        912.36         14.93            2.68          103.6              2.51
210        911.28         14.80            2.69          110.8              2.75
220        910.21         14.68            2.69          120.9              3.06
230        909.14         14.59            2.68          122.1              3.39
240        908.07         14.51            2.65          119.4              3.85
250        907.00         14.42            2.60          103.1              4.13
260        905.93         14.30            2.53          87.7               4.26
270        904.86         14.20            2.47          69.9               4.25
280        903.79         14.10            2.43          55.7               4.32
290        902.73         13.99            2.39          33.5               4.47
300        901.66         13.87            2.36          17.8               4.61
310        900.60         13.75            2.32          9.7                4.58
320        899.53         13.63            2.30          11.1               4.48
330        898.47         13.53            2.28          30.5               4.34
340        897.40         13.44            2.26          51.5               4.15
350        896.34         13.37            2.26          71.8               4.07
360        895.28         13.34            2.28          81.5               4.15
370        894.22         13.29            2.29          81.8               4.24
380        893.16         13.17            2.22          67.7               4.31
390        892.11         13.00            2.12          51.8               4.26
400        891.05         12.85            2.04          37.6               4.23
410        889.99         12.75            1.99          34.3               4.34
420        888.94         12.65            1.95          29.1               4.40
430        887.89         12.54            1.94          25.8               4.47
440        886.83         12.44            1.97          16.2               4.34
450        885.78         12.36            1.98          358.9              4.20
460        884.73         12.28            2.00          339.7              3.99
470        883.68         12.20            2.00          339.4              3.89
480        882.63         12.13            1.98          350.5              3.72
490        881.58         12.02            1.94          4.1                3.52
500        880.53         11.88            1.88          14.9               3.45
510        879.48         11.76            1.84          9.8                3.41
520        878.44         11.65            1.80          11.4               3.41
530        877.39         11.58            1.82          15.7               3.31
540        876.35         11.51            1.82          20.1               3.49
550        875.30         11.45            1.84          38.4               3.48
560        874.26         11.40            1.84          48.0               3.39
570        873.22         11.31            1.81          41.0               3.27
580        872.18         11.23            1.77          33.3               3.22
590        871.14         11.14            1.74          11.1               3.38
600        870.10         11.04            1.72          15.1               3.62
610        869.06         10.95            1.72          33.2               3.78
620        868.02         10.88            1.73          60.0               3.93
630        866.99         10.83            1.74          93.2               4.13
640        865.95         10.79            1.75          101.0              4.40
650        864.92         10.74            1.75          100.8              4.60
660        863.89         10.69            1.73          99.2               4.81
670        862.85         10.56            1.67          98.9               4.80
680        861.82         10.42            1.62          99.5               4.64
690        860.79         10.28            1.57          100.2              4.48
700        859.76         10.14            1.51          100.8              4.33
710        858.73         10.00            1.46          101.5              4.17
720        857.71         9.86             1.40          102.2              4.01
730        856.68         9.73             1.35          98.7               3.81
740        855.65         9.66             1.32          73.5               3.53
750        854.63         9.59             1.31          70.1               3.50
760        853.60         9.53             1.30          67.6               3.42
770        852.58         9.43             1.27          73.9               3.21
780        851.56         9.33             1.25          78.7               3.09
790        850.53         9.22             1.23          83.4               2.94
800        849.51         9.12             1.22          61.7               2.88
810        848.49         9.05             1.21          25.0               2.81
820        847.48         8.98             1.21          21.2               2.80
830        846.46         8.93             1.22          31.2               3.01
840        845.44         8.88             1.23          54.5               2.98
850        844.42         8.81             1.22          90.0               2.86
860        843.41         8.68             1.16          129.8              2.93
870        842.40         8.57             1.11          158.0              3.09
880        841.38         8.46             1.05          155.9              3.05
890        840.37         8.36             1.01          168.5              2.95
900        839.36         8.24             0.96          178.0              3.05
910        838.35         8.07             0.91          178.8              3.03
920        837.34         7.96             0.88          178.7              3.04
930        836.33         7.87             0.86          169.7              3.20
940        835.32         7.82             0.86          168.1              3.50
950        834.31         7.76             0.88          173.9              3.68
960        833.31         7.69             0.89          195.7              3.73
970        832.30         7.62             0.91          219.2              3.77
980        831.30         7.55             0.90          232.8              3.93
990        830.29         7.50             0.90          240.3              4.08
1000       829.29         7.44             0.89          242.0              3.98
1010       828.29         7.37             0.89          237.2              3.96
1020       827.29         7.30             0.88          222.0              3.94
1030       826.29         7.20             0.85          190.6              3.86
1040       825.29         7.12             0.82          166.3              3.82
1050       824.29         7.02             0.78          139.2              3.66
